"county","fips","st","pct_report","total_votes","lead","state_name","Donald_Trump","Hillary_Clinton"
"Montgomery","5097","AR","1.0","3471","Donald Trump","Arkansas","2573","735"
"Tucker","54093","WV","1.0","3464","Donald Trump","West Virginia","2557","750"
"Tunica","28143","MS","1.0","3463","Hillary Clinton","Mississippi","840","2577"
"Grant","27051","MN","1.0","3453","Donald Trump","Minnesota","2063","1104"
"Stephens","48429","TX","1.0","3453","Donald Trump","Texas","3033","348"
"Prairie","5117","AR","1.0","3440","Donald Trump","Arkansas","2503","812"
"Bottineau","38009","ND","1.0","3437","Donald Trump","North Dakota","2482","734"
"Rio Blanco","8103","CO","1.0","3436","Donald Trump","Colorado","2782","433"
"Charles Mix","46023","SD","1.0","3433","Donald Trump","South Dakota","2382","935"
"Jefferson","31095","NE","1.0","3430","Donald Trump","Nebraska","2387","831"
"Ontonagon","26131","MI","1.0","3420","Donald Trump","Michigan","2069","1175"
"Ward","48475","TX","1.0","3413","Donald Trump","Texas","2541","780"
"Taylor","13269","GA","1.0","3402","Donald Trump","Georgia","2062","1295"
"Major","40093","OK","1.0","3399","Donald Trump","Oklahoma","2940","310"
"Turner","13287","GA","1.0","3390","Donald Trump","Georgia","2094","1243"
"Zavala","48507","TX","1.0","3390","Hillary Clinton","Texas","692","2633"
"Audubon","19009","IA","1.0","3379","Donald Trump","Iowa","2135","1079"
"Lafayette","12067","FL","1.0","3375","Donald Trump","Florida","2795","515"
"Rosebud","30087","MT","1.0","3372","Donald Trump","Montana","2211","969"
"Doniphan","20043","KS","1.0","3366","Donald Trump","Kansas","2601","584"
"Hutchinson","46067","SD","1.0","3365","Donald Trump","South Dakota","2517","692"
"Cook","27031","MN","1.0","3360","Hillary Clinton","Minnesota","1156","1912"
"Modoc","6049","CA","1.0","3359","Donald Trump","California","2413","798"
"Quitman","28119","MS","1.0","3353","Hillary Clinton","Mississippi","998","2303"
"Cleveland","5025","AR","1.0","3352","Donald Trump","Arkansas","2460","723"
"Wabaunsee","20197","KS","1.0","3340","Donald Trump","Kansas","2358","773"
"Jack","48237","TX","1.0","3339","Donald Trump","Texas","2973","314"
"Gallatin","21077","KY","1.0","3337","Donald Trump","Kentucky","2443","749"
"Weston","56045","WY","1.0","3334","Donald Trump","Wyoming","2898","294"
"Clark","29045","MO","1.0","3316","Donald Trump","Missouri","2458","724"
"Edwards","17047","IL","1.0","3312","Donald Trump","Illinois","2777","432"
"Liberty","12077","FL","1.0","3295","Donald Trump","Florida","2542","651"
"Ouray","8091","CO","1.0","3287","Hillary Clinton","Colorado","1337","1690"
"Union","18161","IN","1.0","3286","Donald Trump","Indiana","2445","715"
"Kingman","20095","KS","1.0","3281","Donald Trump","Kansas","2507","594"
"Wilkin","27167","MN","1.0","3279","Donald Trump","Minnesota","2129","893"
"Anderson","20003","KS","1.0","3277","Donald Trump","Kansas","2386","665"
"Shelby","29205","MO","1.0","3252","Donald Trump","Missouri","2524","606"
"Greenlee","4011","AZ","1.0","3243","Donald Trump","Arizona","1892","1092"
"Nevada","5099","AR","1.0","3243","Donald Trump","Arkansas","2001","1156"
"Talbot","13263","GA","1.0","3243","Hillary Clinton","Georgia","1196","2001"
"Kearney","31099","NE","1.0","3242","Donald Trump","Nebraska","2519","550"
