year,count,name,percentage,total_per_year
1950,4137,Sarah,0.0012417106733091335,3331694
1950,4055,Maureen,0.0012170985690762718,3331694
1950,3920,Eddie,0.0011765786413758287,3331694
1950,3916,Dianne,0.0011753780509254452,3331694
1950,3892,Melvin,0.0011681745082231442,3331694
1950,3879,Eileen,0.0011642725892593978,3331694
1950,3854,Rodney,0.0011567688989445009,3331694
1950,3819,Irene,0.0011462637325036452,3331694
1950,3811,Anna,0.0011438625516028782,3331694
1950,3775,Victoria,0.0011330572375494268,3331694
1950,3737,Jeanne,0.0011216516282707835,3331694
1950,3640,Norman,0.0010925373098489837,3331694
1950,3629,Roberta,0.0010892356861104291,3331694
1950,3611,Sylvia,0.0010838330290837033,3331694
1950,3591,Joann,0.0010778300768317858,3331694
1950,3588,Earl,0.0010769296339939983,3331694
1950,3560,Anita,0.0010685255008413138,3331694
1950,3491,Sue,0.0010478153155721985,3331694
1950,3485,Marvin,0.0010460144298966231,3331694
1950,3454,Rosemary,0.0010367098539061511,3331694
1950,3450,Charlene,0.0010355092634557676,3331694
1950,3448,Geraldine,0.0010349089682305758,3331694
1950,3405,Norma,0.0010220026208889533,3331694
1950,3399,Tommy,0.0010202017352133779,3331694
1950,3340,Lorraine,0.0010024930260702214,3331694
1950,3335,Clarence,0.001000992288007242,3331694
1950,3299,Annie,0.00099018697395379055,3331694
1950,3297,Lynda,0.0009895866787285987,3331694
1950,3273,Vickie,0.00098238313602629773,3331694
1950,3248,Louise,0.00097487944571140084,3331694
1950,3238,Yvonne,0.0009718779695854421,3331694
1950,3228,Alfred,0.00096887649345948337,3331694
1950,3207,Curtis,0.00096257339359497,3331694
1950,3158,Jackie,0.00094786616057777212,3331694
1950,3140,Julie,0.00094246350355104639,3331694
1950,3121,Marlene,0.00093676069891172474,3331694
1950,3091,Eric,0.00092775627053384854,3331694
1950,3023,Gwendolyn,0.000907346232877329,3331694
1950,3023,Valerie,0.000907346232877329,3331694
1950,3016,Juanita,0.000905245199589158,3331694
1950,3010,Wendy,0.00090344431391358273,3331694
1950,2954,Theodore,0.0008866360476082137,3331694
1950,2939,Clifford,0.00088213383341927555,3331694
1950,2937,Patsy,0.0008815335381940838,3331694
1950,2908,Vincent,0.00087282925742880352,3331694
1950,2830,Leroy,0.00084941774364632528,3331694
1950,2810,Jerome,0.00084341479139440781,3331694
1950,2808,Micheal,0.00084281449616921606,3331694
1950,2792,Jennifer,0.000838012134367682,3331694
1950,2730,Calvin,0.00081940298238673782,3331694
1950,2723,Julia,0.00081730194909856665,3331694
1950,2711,Victor,0.00081370017774741617,3331694
1950,2709,Loretta,0.00081309988252222442,3331694
1950,2701,Don,0.00081069870162145743,3331694
1950,2700,Robin,0.00081039855400886151,3331694
1950,2697,Marjorie,0.00080949811117107394,3331694
1950,2687,Gordon,0.00080649663504511521,3331694
1950,2634,Bernard,0.00079058881157753386,3331694
1950,2633,Stephanie,0.00079028866396493793,3331694
1950,2628,Ray,0.00078878792590195861,3331694
1950,2620,Kay,0.00078638674500119163,3331694
1950,2617,Herbert,0.000785486302163404,3331694
1950,2610,Jose,0.00078338526887523289,3331694
1950,2602,Colleen,0.00078098408797446579,3331694
1950,2602,Mike,0.00078098408797446579,3331694
1950,2593,Jesse,0.000778282759461103,3331694
1950,2567,Jay,0.00077047892153361028,3331694
1950,2556,Rhonda,0.00076717729779505561,3331694
1950,2520,Claudia,0.00075637198374160417,3331694
1950,2500,Michele,0.00075036903148968659,3331694
1950,2488,Darrell,0.00074676726013853611,3331694
1950,2483,Edwin,0.00074526652207555679,3331694
1950,2464,Warren,0.00073956371743623514,3331694
1950,2446,Delores,0.00073416106040950942,3331694
1950,2422,Leon,0.00072695751770720846,3331694
1950,2399,Jeanette,0.00072005412261750331,3331694
1950,2392,Gayle,0.00071795308932933214,3331694
1950,2382,Arlene,0.00071495161320337341,3331694
1950,2382,Ruby,0.00071495161320337341,3331694
1950,2370,Johnnie,0.00071134984185222292,3331694
1950,2326,Dean,0.00069814334689800449,3331694
1950,2293,June,0.00068823847568234061,3331694
1950,2285,Janis,0.00068583729478157362,3331694
1950,2284,Jan,0.00068553714716897769,3331694
1950,2277,Mildred,0.00068343611388080663,3331694
1950,2276,Gene,0.00068313596626821071,3331694
1950,2257,Vivian,0.00067743316162888906,3331694
1950,2253,Alvin,0.00067623257117850556,3331694
1950,2218,Dolores,0.00066572740473764993,3331694
1950,2211,Carole,0.00066362637144947887,3331694
1950,2182,Benjamin,0.00065492209068419849,3331694
1950,2176,Jill,0.00065312120500862325,3331694
1950,2173,Andrea,0.00065222076217083557,3331694
1950,2169,Glen,0.00065102017172045208,3331694
1950,2161,Marion,0.00064861899081968509,3331694
1950,2156,Nicholas,0.00064711825275670578,3331694
1950,2154,Regina,0.000646517957531514,3331694
1950,2130,Jimmie,0.000639314414829213,3331694
1950,2124,Annette,0.00063751352915363772,3331694
1950,2110,Ricky,0.00063331146257729549,3331694
1950,2109,Lloyd,0.00063301131496469967,3331694
1950,2096,Sheryl,0.00062910939600095326,3331694
1950,2080,Dana,0.00062430703419941928,3331694
1950,2076,Dan,0.00062310644374903579,3331694
1950,2073,Josephine,0.00062220600091124811,3331694
1950,2070,Lonnie,0.00062130555807346055,3331694
1950,2041,Joel,0.00061260127730818016,3331694
1950,2036,Sara,0.00061110053924520074,3331694
1950,2035,Angela,0.00061080039163260492,3331694
1950,2030,Bill,0.0006092996535696255,3331694
1950,2015,Lewis,0.00060479743938068745,3331694
1950,1996,Vernon,0.0005990946347413658,3331694
1950,1986,Juan,0.00059609315861540706,3331694
1950,1972,Clyde,0.00059189109203906483,3331694
1950,1953,Duane,0.00058618828739974318,3331694
1950,1946,Edith,0.00058408725411157212,3331694
1950,1942,Paulette,0.00058288666366118852,3331694
1950,1936,Jon,0.00058108577798561328,3331694
1950,1929,Georgia,0.00057898474469744222,3331694
1950,1924,Lynne,0.0005774840066344628,3331694
1950,1918,Jim,0.00057568312095888756,3331694
1950,1893,Jessie,0.00056817943064399066,3331694
1950,1887,Allan,0.00056637854496841542,3331694
1950,1878,Floyd,0.00056367721645505262,3331694
1950,1871,Lillian,0.00056157618316688145,3331694
1950,1866,Gilbert,0.00056007544510390213,3331694
1950,1860,Emma,0.00055827455942832689,3331694
1950,1853,Rosa,0.00055617352614015572,3331694
1950,1825,Edna,0.00054776939298747127,3331694
1950,1807,Harvey,0.00054236673596074554,3331694
1950,1804,Tom,0.00054146629312295787,3331694
1950,1800,Dwight,0.00054026570267257437,3331694
1950,1798,Audrey,0.00053966540744738263,3331694
