"year","name","primarykey","rank","citizenship","countrycode","networthusbillion","selfmade","typeofwealth","gender","age","industry","IndustryAggregates","region","north","politicalconnection","founder","generationofinheritance","sector","company","companytype","relationshiptocompany","foundingdate","gdpcurrentus","sourceofwealth","notes","notes2","source","source_2","source_3","source_4","window","column1"
"2014","Ron Baron","ron baron","869","United States","USA","2","self-made","self-made finance","male","70","Money Management","Financial","North America","1","","1","0","investment banking","Baron Capital Group","new","founder","1982","","money management","","","http://en.wikipedia.org/wiki/Ronald_S._Baron","http://www.marketwatch.com/story/can-billionaire-ron-baron-stay-afloat-in-todays-market-1337096190689","","","romesh t wadhwani","false"
"2014","Ron Burkle","ron burkle","642","United States","USA","2.7","self-made","founder non-finance","male","61","Retail, Restaurant","Non-Traded Sectors","North America","1","","1","0","private equity","Yucaipa Companies","new","founder","1986","","supermarkets, investments","","","http://en.wikipedia.org/wiki/Ronald_Burkle","http://en.wikipedia.org/wiki/Yucaipa_Companies","http://www.latimes.com/business/la-fi-ron-burkle-yucaipa-fresh-easy-20151107-story.html","","ron baron","false"
"2001","Ronald Burkle","ronald burkle","272","United States","USA","1.8","self-made","founder non-finance","male","48","Retail, Restaurant","Non-Traded Sectors","North America","1","","1","0","private equity","Yucaipa Companies","new","founder","1986","10621800000000","","","","http://en.wikipedia.org/wiki/Ronald_Burkle","http://en.wikipedia.org/wiki/Yucaipa_Companies","http://www.latimes.com/business/la-fi-ron-burkle-yucaipa-fresh-easy-20151107-story.html","","ron burkle","false"
"2014","Ronald Lauder","ronald lauder","408","United States","USA","3.7","inherited","inherited","male","70","Consumer","Traded Sectors","North America","1","","0","inherited from father","makeup","Estée Lauder","new","relation","1946","","Estee Lauder","inherited from parents","","http://en.wikipedia.org/wiki/Ronald_Lauder","","","","ronald burkle","false"
"2014","Ronald Perelman","ronald perelman","73","United States","USA","14","self-made","self-made finance","male","71","Private equity/leveraged buyout","Financial","North America","1","","1","0","holding company","MacAnderws and Forbes Holdings","aquired","founder","1980","","leveraged buyouts","","","http://en.wikipedia.org/wiki/Ronald_Perelman","REVLON CHAIRMAN PERELMAN CUTS ANOTHER MASSIVE DEAL Orlando Sentinel (Florida) May 29, 1994 Sunday, 3 STAR","","","ronald lauder","false"
"2014","Ronald Wanek","ronald wanek","988","United States","USA","1.8","self-made","founder non-finance","male","72","Consumer","Traded Sectors","North America","1","","1","0","furniture","Ashley Furniture","aquired","founder","1970","","Furniture","","","http://www.forbes.com/profile/ronald-wanek/","http://www.forbes.com/sites/alexmorrell/2013/09/17/ashley-furniture-owner-ronald-wanek-again-one-of-400-richest-americans/#722328e647f9","","","ronald perelman","false"
"2001","Ronda Stryker","ronda stryker","452","United States","USA","1.1","inherited","inherited","female","46","Technology-Medical","New Sectors","North America","1","","0","Third generation","medical supplies","Stryker Corporation","new","relation","1941","10621800000000","","3rd generation","only sibling to sit on board","http://en.wikipedia.org/wiki/Homer_Stryker","https://www.stryker.com/en-us/corporate/AboutUs/History/index.htm","http://www.forbes.com/profile/jon-stryker/","","ronald wanek","false"
"2001","Roy Disney","roy disney","452","United States","USA","1.1","inherited","inherited","male","71","Media","Non-Traded Sectors","North America","1","","0","inherited from father","entertainment","Disney","new","relation","1923","10621800000000","","inherited from father and uncle","","http://en.wikipedia.org/wiki/Roy_E._Disney","http://en.wikipedia.org/wiki/The_Walt_Disney_Company","An animated power struggle The Orange County Register (California) December 7, 2003 Sunday","","ronda stryker","false"
"2001","Rupert Johnson","rupert johnson","292","United States","USA","1.7","inherited","inherited","male","60","Money Management","Financial","North America","1","","0","inherited from father","mutal funds","Franklin Resources","new","relation","1947","10621800000000","","inherited from father","","http://en.wikipedia.org/wiki/Charles_Bartlett_Johnson","http://www.forbes.com/profile/charles-johnson/","","","roy disney","false"
"2014","Rupert Johnson, Jr.","rupert johnson jr","224","United States","USA","6.2","inherited","inherited","male","72","Money Management","Financial","North America","1","","0","inherited from father","mutal funds","Franklin Resources","new","relation","1947","","money management","inherited from father","","http://en.wikipedia.org/wiki/Charles_Bartlett_Johnson","http://www.forbes.com/profile/charles-johnson/","","","rupert johnson","false"
