"id","first_name","last_name","party","seniority","state","missed_votes_pct","votes_with_party_pct","congress"
"C000877","Alan","Cranston","D",23,"CA",13.27,86.37,102
"D000018","Alfonse","D&#x27;Amato","R",11,"NY",2.36,78.21,102
"D000030","John","Danforth","R",15,"MO",4.36,82.13,102
"D000064","Thomas","Daschle","D",5,"SD",0.36,87.04,102
"D000185","Dennis","DeConcini","D",15,"AZ",3.27,77.82,102
"D000366","Alan","Dixon","D",11,"IL",8.73,78.49,102
"D000388","Christopher","Dodd","D",11,"CT",0.36,85.4,102
"D000401","Robert","Dole","R",23,"KS",0.18,89.62,102
"D000407","Pete","Domenici","R",19,"NM",1.64,90.2,102
"D000566","David","Durenberger","R",13,"MN",2.91,72.66,102
"E000284","J. James","Exon","D",13,"NE",0.91,79.45,102
"F000062","Dianne","Feinstein","D",1,"CA",0,0,102
"F000268","Wendell","Ford","D",18,"KY",0.55,78.98,102
"F000329","Wyche","Fowler","D",5,"GA",2.55,82.09,102
"G000072","Edwin","Garn","R",17,"UT",8,87.75,102
"G000236","John","Glenn Jr.","D",17,"OH",2.18,84.94,102
"G000321","Albert","Gore","D",7,"TN",21.64,87.94,102
"G000333","Slade","Gorton","R",9,"WA",0.91,85.5,102
"G000352","Bob","Graham","D",5,"FL",1.09,80.7,102
"G000365","Phil","Gramm","R",7,"TX",4.55,87.81,102
"G000386","Charles","Grassley","R",11,"IA",0,84.91,102
"H000206","Tom","Harkin","D",7,"IA",25.27,88.56,102
"H000338","Orrin","Hatch","R",15,"UT",6.18,90.89,102
"H000343","Mark","Hatfield","R",25,"OR",1.27,65.19,102
"H000445","Howell","Heflin","D",13,"AL",0.36,67.15,102
"H000456","Henry","Heinz","R",15,"PA",0,80.49,102
"H000463","Jesse","Helms","R",19,"NC",24.91,79.18,102
"H000725","Ernest","Hollings","D",25,"SC",0,70.55,102
"I000025","Daniel","Inouye","D",29,"HI",6.18,86.63,102
"J000072","James","Jeffords","R",3,"VT",6.55,60.31,102
"J000189","John","Johnston","D",19,"LA",1.27,77.35,102
"K000017","Nancy","Kassebaum","R",13,"KS",2.18,81.04,102
"K000019","Robert","Kasten","R",11,"WI",4.36,80.99,102
"K000105","Edward","Kennedy","D",29,"MA",1.27,89.5,102
"K000146","J. Robert","Kerrey","D",3,"NE",19.09,86.52,102
"K000148","John","Kerry","D",7,"MA",0.36,88.69,102
"K000305","Herb","Kohl","D",3,"WI",0.36,81.57,102
"L000123","Frank","Lautenberg","D",9,"NJ",0,86.36,102
"L000174","Patrick","Leahy","D",17,"VT",2.91,87.83,102
"L000261","Carl","Levin","D",13,"MI",0.73,88.1,102
"L000304","Joseph","Lieberman","D",3,"CT",1.09,84.19,102
"L000447","Trent","Lott","R",3,"MS",1.64,87.8,102
"L000504","Richard","Lugar","R",15,"IN",2.55,87.31,102
"M000019","Connie","Mack","R",3,"FL",1.45,84.69,102
"M000303","John","McCain","R",5,"AZ",2,86.09,102
"M000355","Mitch","McConnell","R",7,"KY",0.55,91.22,102
"M000678","Howard","Metzenbaum","D",16,"OH",2,84.42,102
"M000702","Barbara","Mikulski","D",5,"MD",1.82,89.44,102
"M000811","George","Mitchell","D",11,"ME",0,89.82,102
"M001054","Daniel","Moynihan","D",15,"NY",0.18,87.43,102
"M001085","Frank","Murkowski","R",11,"AK",4.18,89.37,102
"N000102","Don","Nickles","R",11,"OK",3.27,86.65,102
"N000171","Samuel","Nunn","D",19,"GA",2,78.11,102
"P000009","Robert","Packwood","R",23,"OR",2.55,71.64,102
"P000193","Claiborne","Pell","D",31,"RI",2.55,86.01,102
"P000513","Larry","Pressler","R",13,"SD",0.18,86.7,102
"P000556","David","Pryor","D",13,"AR",31.27,82.28,102
"R000146","Harry","Reid","D",5,"NV",1.45,81.73,102
"R000249","Donald","Riegle","D",15,"MI",3.09,88.74,102
"R000295","Charles","Robb","D",3,"VA",0,80.55,102
"R000361","John","Rockefeller IV","D",7,"WV",1.45,89.48,102
"R000460","William","Roth Jr.","R",21,"DE",6.55,79.18,102
"R000497","Warren","Rudman","R",11,"NH",2.36,78.58,102
"S000055","James","Sanford","D",5,"NC",8.36,84.72,102
"S000064","Paul","Sarbanes","D",15,"MD",0,89.45,102
"S000068","James","Sasser","D",15,"TN",0.36,86.5,102
"S000269","John","Seymour","R",1,"CA",9.82,85.89,102
"S000320","Richard","Shelby","D",5,"AL",0,66.91,102
"S000423","Paul","Simon","D",7,"IL",1.27,85.27,102
"S000429","Alan","Simpson","R",13,"WY",1.45,90.59,102
"S000606","Bob","Smith","R",1,"NH",0.36,76.09,102
"S000709","Arlen","Specter","R",11,"PA",2.73,69.72,102
"S000888","Ted","Stevens","R",23,"AK",2.55,83.96,102
"S001138","Steven","Symms","R",11,"ID",4.36,83.08,102
"T000254","Strom","Thurmond","R",36,"SC",0.55,90.68,102
"W000092","Malcolm","Wallop","R",15,"WY",5.09,81.61,102
